"Mês Ano";"Órgão Superior";"Órgão/Entidade Vinculada";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"04/2019";"26000 - Ministério da Educação";"26276 - Fundação Universidade Federal do Mato Grosso";"83.950.601,55";"79.576.079,11";"71.458.154,49";"1.660.837,35";
"06/2019";"26000 - Ministério da Educação";"26276 - Fundação Universidade Federal do Mato Grosso";"103.233.214,51";"85.840.942,62";"71.625.279,95";"1.909.061,83";
"07/2019";"26000 - Ministério da Educação";"26276 - Fundação Universidade Federal do Mato Grosso";"72.331.486,11";"81.494.120,45";"97.187.731,67";"402.700,08";
"01/2019";"26000 - Ministério da Educação";"26283 - Fundação Universidade Federal do Mato Grosso do Sul";"678.030.374,67";"58.391.531,65";"18.277.188,11";"54.819.939,70";
"03/2019";"26000 - Ministério da Educação";"26283 - Fundação Universidade Federal do Mato Grosso do Sul";"11.631.645,28";"66.076.139,08";"63.509.285,15";"4.219.398,77";
"06/2019";"26000 - Ministério da Educação";"26283 - Fundação Universidade Federal do Mato Grosso do Sul";"9.296.625,43";"85.544.756,59";"70.023.173,56";"1.616.930,06";
"05/2019";"26000 - Ministério da Educação";"26283 - Fundação Universidade Federal do Mato Grosso do Sul";"9.414.397,23";"68.133.958,60";"64.969.282,27";"3.580.531,47";
"02/2019";"26000 - Ministério da Educação";"26283 - Fundação Universidade Federal do Mato Grosso do Sul";"12.804.373,23";"65.033.953,75";"62.368.449,38";"2.415.739,18";
"07/2019";"26000 - Ministério da Educação";"26283 - Fundação Universidade Federal do Mato Grosso do Sul";"12.586.981,42";"68.284.436,57";"85.353.013,90";"1.957.674,26";
"08/2019";"26000 - Ministério da Educação";"26283 - Fundação Universidade Federal do Mato Grosso do Sul";"40.409.807,62";"65.183.763,25";"49.266.171,98";"1.911.964,95";
"04/2019";"26000 - Ministério da Educação";"26283 - Fundação Universidade Federal do Mato Grosso do Sul";"20.249.735,24";"65.636.768,58";"66.154.719,54";"5.522.702,47";
"05/2019";"26000 - Ministério da Educação";"26266 - Fundação Universidade Federal do Pampa";"5.274.556,32";"25.642.019,03";"24.396.386,26";"3.247.315,28";
"04/2019";"26000 - Ministério da Educação";"26266 - Fundação Universidade Federal do Pampa";"4.661.904,20";"23.292.473,69";"22.988.894,24";"3.512.416,08";
"03/2019";"26000 - Ministério da Educação";"26266 - Fundação Universidade Federal do Pampa";"1.843.074,10";"22.782.663,28";"21.133.038,24";"5.411.888,07";
"02/2019";"26000 - Ministério da Educação";"26266 - Fundação Universidade Federal do Pampa";"3.685.879,43";"22.283.595,61";"23.973.117,00";"2.050.993,92";
"01/2019";"26000 - Ministério da Educação";"26266 - Fundação Universidade Federal do Pampa";"267.866.155,74";"22.752.713,88";"7.232.055,32";"20.116.080,12";
"08/2019";"26000 - Ministério da Educação";"26266 - Fundação Universidade Federal do Pampa";"3.042.130,19";"25.028.970,64";"18.110.679,56";"1.227.664,02";
"07/2019";"26000 - Ministério da Educação";"26266 - Fundação Universidade Federal do Pampa";"4.163.692,10";"25.412.783,90";"31.200.993,86";"1.345.077,35";
"06/2019";"26000 - Ministério da Educação";"26266 - Fundação Universidade Federal do Pampa";"1.638.984,71";"31.166.591,43";"24.829.698,18";"2.676.975,34";
"02/2019";"26000 - Ministério da Educação";"26279 - Fundação Universidade Federal do Piauí";"8.291.821,68";"58.996.875,69";"56.101.692,50";"7.608.159,86";
"03/2019";"26000 - Ministério da Educação";"26279 - Fundação Universidade Federal do Piauí";"133.847.175,00";"61.272.243,20";"59.251.527,00";"2.962.602,81";
"07/2019";"26000 - Ministério da Educação";"26279 - Fundação Universidade Federal do Piauí";"55.326.326,44";"65.875.303,31";"78.664.673,32";"2.593.555,57";
"01/2019";"26000 - Ministério da Educação";"26279 - Fundação Universidade Federal do Piauí";"175.687.177,90";"55.659.079,04";"15.460.975,37";"58.842.411,40";
"05/2019";"26000 - Ministério da Educação";"26279 - Fundação Universidade Federal do Piauí";"15.949.113,92";"68.380.683,41";"64.402.066,37";"1.673.133,57";
"08/2019";"26000 - Ministério da Educação";"26279 - Fundação Universidade Federal do Piauí";"87.805.698,43";"64.898.931,31";"52.074.913,25";"592.542,58";
"06/2019";"26000 - Ministério da Educação";"26279 - Fundação Universidade Federal do Piauí";"32.882.334,25";"79.588.598,25";"67.893.082,37";"1.230.062,89";
"04/2019";"26000 - Ministério da Educação";"26279 - Fundação Universidade Federal do Piauí";"43.077.612,14";"62.957.835,09";"61.978.977,62";"5.882.318,48";
"04/2019";"26000 - Ministério da Educação";"26251 - Fundação Universidade Federal do Tocantins";"6.842.610,22";"24.895.162,89";"26.333.390,29";"6.668.972,13";
"02/2019";"26000 - Ministério da Educação";"26251 - Fundação Universidade Federal do Tocantins";"4.463.014,68";"24.598.873,61";"23.760.530,20";"4.230.857,37";
"01/2019";"26000 - Ministério da Educação";"26251 - Fundação Universidade Federal do Tocantins";"286.745.677,13";"24.027.650,38";"7.706.838,43";"23.814.802,76";
"05/2019";"26000 - Ministério da Educação";"26251 - Fundação Universidade Federal do Tocantins";"5.470.284,22";"29.441.397,97";"25.835.787,49";"5.254.433,57";
"08/2019";"26000 - Ministério da Educação";"26251 - Fundação Universidade Federal do Tocantins";"6.301.575,99";"28.084.997,33";"21.572.482,85";"2.388.763,43";
"03/2019";"26000 - Ministério da Educação";"26251 - Fundação Universidade Federal do Tocantins";"6.816.155,25";"26.198.564,97";"24.632.062,64";"6.054.415,57";
"07/2019";"26000 - Ministério da Educação";"26251 - Fundação Universidade Federal do Tocantins";"6.297.687,59";"28.625.334,06";"35.117.310,59";"2.614.317,46";
"06/2019";"26000 - Ministério da Educação";"26251 - Fundação Universidade Federal do Tocantins";"6.107.388,69";"35.997.015,61";"30.193.743,71";"4.553.100,63";
"02/2019";"26000 - Ministério da Educação";"26230 - Fundação Universidade Federal do Vale do São Francisco";"3.775.062,81";"14.087.746,22";"13.997.659,59";"2.104.159,41";
"08/2019";"26000 - Ministério da Educação";"26230 - Fundação Universidade Federal do Vale do São Francisco";"5.248.464,68";"17.693.826,67";"17.782.450,42";"1.554.636,23";
"06/2019";"26000 - Ministério da Educação";"26230 - Fundação Universidade Federal do Vale do São Francisco";"6.524.215,81";"18.468.156,34";"14.324.832,82";"1.937.147,49";
"04/2019";"26000 - Ministério da Educação";"26230 - Fundação Universidade Federal do Vale do São Francisco";"8.755.132,35";"17.559.399,03";"14.035.331,69";"630.183,42";
"05/2019";"26000 - Ministério da Educação";"26230 - Fundação Universidade Federal do Vale do São Francisco";"3.451.247,21";"14.181.996,07";"17.455.942,41";"4.657.274,51";
"03/2019";"26000 - Ministério da Educação";"26230 - Fundação Universidade Federal do Vale do São Francisco";"1.694.264,51";"13.416.560,83";"14.099.013,60";"4.326.123,17";
"07/2019";"26000 - Ministério da Educação";"26230 - Fundação Universidade Federal do Vale do São Francisco";"4.649.772,08";"14.266.741,26";"17.822.415,94";"1.003.424,76";
"01/2019";"26000 - Ministério da Educação";"26230 - Fundação Universidade Federal do Vale do São Francisco";"139.384.709,67";"14.674.942,63";"5.016.313,82";"12.534.380,19";
"02/2019";"26000 - Ministério da Educação";"26298 - Fundo Nacional de Desenvolvimento da Educação";"3.764.537.855,38";"3.463.495.379,75";"3.383.439.860,19";"305.078.605,24";
"03/2019";"26000 - Ministério da Educação";"26298 - Fundo Nacional de Desenvolvimento da Educação";"2.048.728.354,88";"2.697.780.794,88";"2.777.466.420,61";"67.805.207,48";
"06/2019";"26000 - Ministério da Educação";"26298 - Fundo Nacional de Desenvolvimento da Educação";"836.745.638,86";"4.488.960.377,73";"4.501.827.478,86";"101.458.292,16";
"05/2019";"26000 - Ministério da Educação";"26298 - Fundo Nacional de Desenvolvimento da Educação";"957.113.563,46";"4.083.955.818,33";"3.936.290.415,88";"88.370.601,81";
"01/2019";"26000 - Ministério da Educação";"26298 - Fundo Nacional de Desenvolvimento da Educação";"31.685.146.923,91";"2.952.785.461,20";"2.943.168.898,82";"1.873.302.162,40";
"07/2019";"26000 - Ministério da Educação";"26298 - Fundo Nacional de Desenvolvimento da Educação";"2.428.792.723,75";"3.616.257.845,07";"3.554.348.739,12";"122.995.324,86";
"08/2019";"26000 - Ministério da Educação";"26298 - Fundo Nacional de Desenvolvimento da Educação";"1.410.036.745,87";"2.753.562.504,43";"3.210.147.512,57";"82.955.441,87";
"04/2019";"26000 - Ministério da Educação";"26298 - Fundo Nacional de Desenvolvimento da Educação";"732.726.181,06";"3.737.922.025,47";"3.465.036.036,88";"156.490.908,10";
"08/2019";"26000 - Ministério da Educação";"26294 - Hospital de Clínicas de Porto Alegre";"99.209.603,33";"96.986.025,24";"73.460.711,62";"9.843.822,32";
"01/2019";"26000 - Ministério da Educação";"26294 - Hospital de Clínicas de Porto Alegre";"113.813.829,18";"108.877.022,64";"40.487.453,89";"104.384.320,98";
"03/2019";"26000 - Ministério da Educação";"26294 - Hospital de Clínicas de Porto Alegre";"105.648.600,48";"102.734.287,84";"104.739.238,96";"4.440.572,67";
"05/2019";"26000 - Ministério da Educação";"26294 - Hospital de Clínicas de Porto Alegre";"115.669.464,97";"115.050.798,62";"131.595.150,93";"6.055.342,68";
"04/2019";"26000 - Ministério da Educação";"26294 - Hospital de Clínicas de Porto Alegre";"111.545.523,58";"110.602.738,87";"85.105.602,74";"8.363.919,88";
"02/2019";"26000 - Ministério da Educação";"26294 - Hospital de Clínicas de Porto Alegre";"119.392.273,53";"110.547.561,28";"109.290.774,49";"5.086.051,43";
"07/2019";"26000 - Ministério da Educação";"26294 - Hospital de Clínicas de Porto Alegre";"111.672.463,17";"114.342.053,79";"124.017.414,30";"10.987.146,44";
"06/2019";"26000 - Ministério da Educação";"26294 - Hospital de Clínicas de Porto Alegre";"117.553.632,76";"116.022.907,99";"114.543.577,84";"6.213.620,27";
"03/2019";"26000 - Ministério da Educação";"26404 - Instituto Federal de Educação, Ciência e Tecnologia Baiano";"3.290.726,67";"23.150.857,91";"22.634.009,75";"3.029.386,99";
"02/2019";"26000 - Ministério da Educação";"26404 - Instituto Federal de Educação, Ciência e Tecnologia Baiano";"2.384.637,98";"22.145.330,23";"20.929.199,04";"3.174.529,35";
"08/2019";"26000 - Ministério da Educação";"26404 - Instituto Federal de Educação, Ciência e Tecnologia Baiano";"5.730.181,62";"24.274.547,43";"17.829.223,95";"831.617,51";
"04/2019";"26000 - Ministério da Educação";"26404 - Instituto Federal de Educação, Ciência e Tecnologia Baiano";"5.639.183,41";"24.238.077,89";"23.389.024,29";"2.224.916,94";
"01/2019";"26000 - Ministério da Educação";"26404 - Instituto Federal de Educação, Ciência e Tecnologia Baiano";"210.399.835,86";"20.726.588,74";"6.764.604,52";"21.035.731,17";
"07/2019";"26000 - Ministério da Educação";"26404 - Instituto Federal de Educação, Ciência e Tecnologia Baiano";"5.059.053,55";"23.976.859,15";"28.152.577,46";"851.267,09";
"06/2019";"26000 - Ministério da Educação";"26404 - Instituto Federal de Educação, Ciência e Tecnologia Baiano";"2.784.811,55";"28.255.386,27";"24.660.390,76";"1.673.588,80";
"05/2019";"26000 - Ministério da Educação";"26404 - Instituto Federal de Educação, Ciência e Tecnologia Baiano";"3.877.973,05";"25.004.433,35";"24.011.285,29";"2.174.296,89";
"07/2019";"26000 - Ministério da Educação";"26422 - Instituto Federal de Educação, Ciência e Tecnologia Catarinense";"4.306.351,58";"28.539.594,25";"36.077.339,04";"1.356.737,28";
"02/2019";"26000 - Ministério da Educação";"26422 - Instituto Federal de Educação, Ciência e Tecnologia Catarinense";"4.156.121,05";"24.514.976,64";"23.968.625,58";"3.013.190,26";
"06/2019";"26000 - Ministério da Educação";"26422 - Instituto Federal de Educação, Ciência e Tecnologia Catarinense";"3.644.893,98";"35.951.424,72";"29.292.265,67";"1.945.739,30";
"01/2019";"26000 - Ministério da Educação";"26422 - Instituto Federal de Educação, Ciência e Tecnologia Catarinense";"310.484.948,68";"24.006.114,94";"7.876.916,07";"25.227.071,50";
"04/2019";"26000 - Ministério da Educação";"26422 - Instituto Federal de Educação, Ciência e Tecnologia Catarinense";"9.939.883,45";"27.927.475,89";"25.775.407,94";"3.568.105,38";
"03/2019";"26000 - Ministério da Educação";"26422 - Instituto Federal de Educação, Ciência e Tecnologia Catarinense";"3.292.216,01";"25.990.539,35";"24.878.165,16";"4.087.424,14";
"08/2019";"26000 - Ministério da Educação";"26422 - Instituto Federal de Educação, Ciência e Tecnologia Catarinense";"3.883.603,89";"27.877.827,17";"20.350.072,38";"692.838,90";
"05/2019";"26000 - Ministério da Educação";"26422 - Instituto Federal de Educação, Ciência e Tecnologia Catarinense";"3.838.018,50";"29.181.302,33";"27.865.063,63";"2.298.641,01";
"05/2019";"26000 - Ministério da Educação";"26427 - Instituto Federal de Educação, Ciência e Tecnologia da Bahia";"7.036.494,19";"44.774.100,35";"44.234.516,09";"4.527.240,62";
"01/2019";"26000 - Ministério da Educação";"26427 - Instituto Federal de Educação, Ciência e Tecnologia da Bahia";"460.804.940,78";"38.111.653,62";"12.092.211,68";"40.427.909,24";
"08/2019";"26000 - Ministério da Educação";"26427 - Instituto Federal de Educação, Ciência e Tecnologia da Bahia";"6.154.138,28";"43.415.612,97";"31.417.492,95";"4.194.182,26";
"07/2019";"26000 - Ministério da Educação";"26427 - Instituto Federal de Educação, Ciência e Tecnologia da Bahia";"4.178.108,55";"43.384.971,91";"50.053.473,45";"1.569.495,54";
"03/2019";"26000 - Ministério da Educação";"26427 - Instituto Federal de Educação, Ciência e Tecnologia da Bahia";"5.435.409,78";"41.930.498,44";"39.097.939,86";"4.732.524,68";
"02/2019";"26000 - Ministério da Educação";"26427 - Instituto Federal de Educação, Ciência e Tecnologia da Bahia";"5.469.327,39";"39.081.135,17";"38.319.233,68";"4.675.234,26";
"06/2019";"26000 - Ministério da Educação";"26427 - Instituto Federal de Educação, Ciência e Tecnologia da Bahia";"7.639.233,21";"50.333.605,89";"44.062.733,25";"2.433.174,03";
"04/2019";"26000 - Ministério da Educação";"26427 - Instituto Federal de Educação, Ciência e Tecnologia da Bahia";"12.959.317,75";"44.906.776,63";"43.626.312,14";"8.991.260,98";
"02/2019";"26000 - Ministério da Educação";"26417 - Instituto Federal de Educação, Ciência e Tecnologia da Paraíba";"364.424.358,34";"37.165.536,97";"36.274.324,69";"3.470.651,77";
"04/2019";"26000 - Ministério da Educação";"26417 - Instituto Federal de Educação, Ciência e Tecnologia da Paraíba";"12.752.958,99";"40.617.719,71";"38.411.127,71";"3.327.027,53";
"06/2019";"26000 - Ministério da Educação";"26417 - Instituto Federal de Educação, Ciência e Tecnologia da Paraíba";"9.391.949,95";"47.691.499,17";"41.123.002,21";"1.459.984,04";
"05/2019";"26000 - Ministério da Educação";"26417 - Instituto Federal de Educação, Ciência e Tecnologia da Paraíba";"4.422.410,76";"42.922.753,11";"42.330.268,99";"4.100.783,59";
"01/2019";"26000 - Ministério da Educação";"26417 - Instituto Federal de Educação, Ciência e Tecnologia da Paraíba";"70.751.499,39";"36.155.779,72";"11.235.523,33";"46.086.148,56";
"07/2019";"26000 - Ministério da Educação";"26417 - Instituto Federal de Educação, Ciência e Tecnologia da Paraíba";"4.055.151,37";"40.515.811,98";"47.218.295,33";"2.452.078,04";
"03/2019";"26000 - Ministério da Educação";"26417 - Instituto Federal de Educação, Ciência e Tecnologia da Paraíba";"3.334.755,24";"37.944.446,85";"37.732.041,83";"3.661.791,12";
"08/2019";"26000 - Ministério da Educação";"26417 - Instituto Federal de Educação, Ciência e Tecnologia da Paraíba";"11.774.760,57";"39.988.189,72";"29.121.439,58";"1.981.412,90";
"08/2019";"26000 - Ministério da Educação";"26402 - Instituto Federal de Educação, Ciência e Tecnologia de Alagoas";"4.223.853,37";"3.388.502,45";"24.060.684,37";"1.740.270,59";
"06/2019";"26000 - Ministério da Educação";"26402 - Instituto Federal de Educação, Ciência e Tecnologia de Alagoas";"37.961.551,43";"37.750.201,80";"32.754.017,16";"1.484.068,40";
"07/2019";"26000 - Ministério da Educação";"26402 - Instituto Federal de Educação, Ciência e Tecnologia de Alagoas";"78.896.854,29";"32.641.531,54";"37.753.346,00";"1.035.854,08";
"05/2019";"26000 - Ministério da Educação";"26402 - Instituto Federal de Educação, Ciência e Tecnologia de Alagoas";"5.829.494,32";"33.204.792,01";"31.048.124,47";"1.744.281,50";
"03/2019";"26000 - Ministério da Educação";"26402 - Instituto Federal de Educação, Ciência e Tecnologia de Alagoas";"4.114.937,33";"30.376.842,42";"28.996.821,33";"2.885.854,10";
"01/2019";"26000 - Ministério da Educação";"26402 - Instituto Federal de Educação, Ciência e Tecnologia de Alagoas";"56.548.796,06";"27.519.440,43";"8.156.922,85";"30.775.491,56";
"02/2019";"26000 - Ministério da Educação";"26402 - Instituto Federal de Educação, Ciência e Tecnologia de Alagoas";"125.003.851,68";"28.716.114,95";"27.576.423,79";"2.286.888,32";
"04/2019";"26000 - Ministério da Educação";"26402 - Instituto Federal de Educação, Ciência e Tecnologia de Alagoas";"11.047.203,82";"30.983.984,67";"30.815.959,73";"3.161.513,60";
"08/2019";"26000 - Ministério da Educação";"26428 - Instituto Federal de Educação, Ciência e Tecnologia de Brasília";"3.464.163,62";"2.189.769,70";"12.292.027,07";"1.064.423,81";
"05/2019";"26000 - Ministério da Educação";"26428 - Instituto Federal de Educação, Ciência e Tecnologia de Brasília";"15.278.655,29";"17.103.033,72";"17.101.029,04";"1.267.747,80";
"04/2019";"26000 - Ministério da Educação";"26428 - Instituto Federal de Educação, Ciência e Tecnologia de Brasília";"21.115.571,36";"16.831.768,91";"15.216.210,17";"1.265.906,52";
"06/2019";"26000 - Ministério da Educação";"26428 - Instituto Federal de Educação, Ciência e Tecnologia de Brasília";"23.256.254,23";"21.784.590,41";"16.933.864,74";"1.317.930,97";
"01/2019";"26000 - Ministério da Educação";"26428 - Instituto Federal de Educação, Ciência e Tecnologia de Brasília";"16.760.047,23";"14.712.327,62";"4.869.302,35";"16.072.625,76";
"02/2019";"26000 - Ministério da Educação";"26428 - Instituto Federal de Educação, Ciência e Tecnologia de Brasília";"16.805.004,70";"15.263.603,54";"15.029.744,88";"2.681.129,47";
"03/2019";"26000 - Ministério da Educação";"26428 - Instituto Federal de Educação, Ciência e Tecnologia de Brasília";"16.696.177,62";"15.572.484,49";"15.618.398,03";"3.668.565,73";
"07/2019";"26000 - Ministério da Educação";"26428 - Instituto Federal de Educação, Ciência e Tecnologia de Brasília";"16.185.455,78";"17.610.239,08";"22.063.893,78";"2.500.950,29";
"08/2019";"26000 - Ministério da Educação";"26429 - Instituto Federal de Educação, Ciência e Tecnologia de Goiás";"3.057.454,65";"35.058.225,61";"24.388.706,82";"1.207.034,03";
"02/2019";"26000 - Ministério da Educação";"26429 - Instituto Federal de Educação, Ciência e Tecnologia de Goiás";"3.208.844,01";"32.768.702,74";"32.214.375,27";"3.415.915,60";
"05/2019";"26000 - Ministério da Educação";"26429 - Instituto Federal de Educação, Ciência e Tecnologia de Goiás";"4.947.980,88";"35.646.692,90";"35.142.729,70";"3.136.280,42";
"06/2019";"26000 - Ministério da Educação";"26429 - Instituto Federal de Educação, Ciência e Tecnologia de Goiás";"4.494.946,17";"40.310.054,24";"35.197.288,81";"1.699.072,58";
"03/2019";"26000 - Ministério da Educação";"26429 - Instituto Federal de Educação, Ciência e Tecnologia de Goiás";"2.907.551,33";"33.767.598,71";"33.115.692,25";"2.629.321,00";
"07/2019";"26000 - Ministério da Educação";"26429 - Instituto Federal de Educação, Ciência e Tecnologia de Goiás";"2.711.675,25";"34.902.285,32";"40.505.546,97";"2.203.289,34";
"04/2019";"26000 - Ministério da Educação";"26429 - Instituto Federal de Educação, Ciência e Tecnologia de Goiás";"6.147.795,36";"34.989.985,42";"34.005.251,83";"1.242.484,56";
"01/2019";"26000 - Ministério da Educação";"26429 - Instituto Federal de Educação, Ciência e Tecnologia de Goiás";"384.946.931,05";"32.301.960,35";"10.372.745,90";"36.627.722,45";
"07/2019";"26000 - Ministério da Educação";"26409 - Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais";"6.528.403,67";"31.104.268,56";"37.175.504,34";"1.701.881,79";
"02/2019";"26000 - Ministério da Educação";"26409 - Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais";"3.438.324,06";"27.860.596,28";"27.164.664,88";"3.447.864,01";
"03/2019";"26000 - Ministério da Educação";"26409 - Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais";"2.536.738,48";"28.946.208,56";"28.083.462,41";"3.266.177,23";
"06/2019";"26000 - Ministério da Educação";"26409 - Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais";"3.334.289,30";"37.353.850,58";"30.402.966,86";"1.935.008,15";
"04/2019";"26000 - Ministério da Educação";"26409 - Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais";"8.123.840,58";"30.192.629,85";"29.189.478,63";"3.244.915,17";
"08/2019";"26000 - Ministério da Educação";"26409 - Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais";"1.398.116,32";"31.610.954,79";"22.888.583,07";"1.741.990,90";
"01/2019";"26000 - Ministério da Educação";"26409 - Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais";"338.309.802,06";"27.131.021,19";"8.464.272,29";"29.372.779,85";
"05/2019";"26000 - Ministério da Educação";"26409 - Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais";"2.952.023,72";"30.173.139,11";"30.163.727,40";"3.861.720,64";
"05/2019";"26000 - Ministério da Educação";"26418 - Instituto Federal de Educação, Ciência e Tecnologia de Pernambuco";"7.255.785,80";"41.631.945,42";"42.107.758,56";"8.225.632,90";
"01/2019";"26000 - Ministério da Educação";"26418 - Instituto Federal de Educação, Ciência e Tecnologia de Pernambuco";"236.438.798,96";"36.953.175,11";"11.326.719,05";"46.566.937,87";
"08/2019";"26000 - Ministério da Educação";"26418 - Instituto Federal de Educação, Ciência e Tecnologia de Pernambuco";"26.586.912,79";"41.965.981,12";"31.735.489,91";"4.324.262,46";
"06/2019";"26000 - Ministério da Educação";"26418 - Instituto Federal de Educação, Ciência e Tecnologia de Pernambuco";"180.930.895,69";"49.938.193,44";"41.424.081,03";"4.382.448,91";
"04/2019";"26000 - Ministério da Educação";"26418 - Instituto Federal de Educação, Ciência e Tecnologia de Pernambuco";"11.796.358,21";"42.066.044,61";"40.212.011,58";"8.684.855,24";
"03/2019";"26000 - Ministério da Educação";"26418 - Instituto Federal de Educação, Ciência e Tecnologia de Pernambuco";"4.117.626,50";"40.651.902,69";"38.608.407,40";"6.349.584,60";
"02/2019";"26000 - Ministério da Educação";"26418 - Instituto Federal de Educação, Ciência e Tecnologia de Pernambuco";"2.001.946,39";"37.493.756,75";"36.983.837,81";"9.279.198,62";
"07/2019";"26000 - Ministério da Educação";"26418 - Instituto Federal de Educação, Ciência e Tecnologia de Pernambuco";"5.393.866,03";"42.182.687,13";"49.114.348,76";"7.381.995,15";
"04/2019";"26000 - Ministério da Educação";"26421 - Instituto Federal de Educação, Ciência e Tecnologia de Rondônia";"5.608.065,19";"17.138.058,16";"15.515.562,64";"1.906.555,48";
"03/2019";"26000 - Ministério da Educação";"26421 - Instituto Federal de Educação, Ciência e Tecnologia de Rondônia";"1.464.620,92";"15.302.991,70";"15.167.888,65";"3.183.668,50";
"07/2019";"26000 - Ministério da Educação";"26421 - Instituto Federal de Educação, Ciência e Tecnologia de Rondônia";"6.506.344,30";"18.454.899,45";"19.957.410,14";"406.446,90";
"06/2019";"26000 - Ministério da Educação";"26421 - Instituto Federal de Educação, Ciência e Tecnologia de Rondônia";"6.348.631,22";"19.967.143,88";"16.436.032,96";"614.731,26";
"05/2019";"26000 - Ministério da Educação";"26421 - Instituto Federal de Educação, Ciência e Tecnologia de Rondônia";"3.175.705,29";"16.702.006,75";"17.144.186,76";"1.624.081,42";
"08/2019";"26000 - Ministério da Educação";"26421 - Instituto Federal de Educação, Ciência e Tecnologia de Rondônia";"9.000.912,27";"3.651.461,75";"14.264.775,76";"769.631,12";
"02/2019";"26000 - Ministério da Educação";"26421 - Instituto Federal de Educação, Ciência e Tecnologia de Rondônia";"3.466.496,67";"15.136.598,06";"13.537.837,09";"3.618.228,06";
"01/2019";"26000 - Ministério da Educação";"26421 - Instituto Federal de Educação, Ciência e Tecnologia de Rondônia";"168.260.364,74";"13.357.405,27";"4.377.795,79";"17.675.226,09";
"06/2019";"26000 - Ministério da Educação";"26437 - Instituto Federal de Educação, Ciência e Tecnologia de Roraima";"9.986.039,63";"12.431.619,60";"9.861.475,30";"900.245,82";
"01/2019";"26000 - Ministério da Educação";"26437 - Instituto Federal de Educação, Ciência e Tecnologia de Roraima";"26.477.313,76";"8.638.215,63";"2.688.855,86";"8.903.927,21";
"04/2019";"26000 - Ministério da Educação";"26437 - Instituto Federal de Educação, Ciência e Tecnologia de Roraima";"14.107.203,98";"10.047.922,70";"9.260.026,57";"940.384,49";
"08/2019";"26000 - Ministério da Educação";"26437 - Instituto Federal de Educação, Ciência e Tecnologia de Roraima";"5.355.962,05";"10.044.341,85";"7.390.531,26";"283.506,52";
"02/2019";"26000 - Ministério da Educação";"26437 - Instituto Federal de Educação, Ciência e Tecnologia de Roraima";"1.103.957,99";"8.753.667,05";"8.623.312,34";"2.669.853,74";
"05/2019";"26000 - Ministério da Educação";"26437 - Instituto Federal de Educação, Ciência e Tecnologia de Roraima";"896.780,39";"9.912.879,11";"9.959.196,68";"2.237.648,12";
"03/2019";"26000 - Ministério da Educação";"26437 - Instituto Federal de Educação, Ciência e Tecnologia de Roraima";"19.177.363,96";"9.206.539,81";"8.945.184,55";"2.772.857,19";
"07/2019";"26000 - Ministério da Educação";"26437 - Instituto Federal de Educação, Ciência e Tecnologia de Roraima";"26.463.603,78";"10.220.231,93";"12.563.260,79";"989.332,23";
"06/2019";"26000 - Ministério da Educação";"26438 - Instituto Federal de Educação, Ciência e Tecnologia de Santa Catarina";"3.522.603,96";"53.844.290,09";"44.753.663,05";"2.048.621,68";
"02/2019";"26000 - Ministério da Educação";"26438 - Instituto Federal de Educação, Ciência e Tecnologia de Santa Catarina";"4.574.657,60";"39.627.598,52";"38.336.267,68";"3.525.432,27";
"05/2019";"26000 - Ministério da Educação";"26438 - Instituto Federal de Educação, Ciência e Tecnologia de Santa Catarina";"3.443.843,50";"43.967.136,29";"43.160.536,10";"2.713.741,22";
"07/2019";"26000 - Ministério da Educação";"26438 - Instituto Federal de Educação, Ciência e Tecnologia de Santa Catarina";"6.304.691,98";"43.659.490,31";"53.928.884,05";"1.748.621,37";
"03/2019";"26000 - Ministério da Educação";"26438 - Instituto Federal de Educação, Ciência e Tecnologia de Santa Catarina";"3.916.185,93";"42.157.548,02";"39.830.288,51";"5.353.872,37";
"08/2019";"26000 - Ministério da Educação";"26438 - Instituto Federal de Educação, Ciência e Tecnologia de Santa Catarina";"3.989.010,20";"44.666.878,22";"31.800.167,76";"480.446,90";
"01/2019";"26000 - Ministério da Educação";"26438 - Instituto Federal de Educação, Ciência e Tecnologia de Santa Catarina";"499.508.027,98";"38.801.107,45";"11.899.196,28";"47.523.494,59";
"04/2019";"26000 - Ministério da Educação";"26438 - Instituto Federal de Educação, Ciência e Tecnologia de Santa Catarina";"11.888.477,85";"43.698.366,30";"42.281.099,71";"3.457.900,40";
"08/2019";"26000 - Ministério da Educação";"26423 - Instituto Federal de Educação, Ciência e Tecnologia de Sergipe";"4.675.555,95";"19.672.015,58";"14.722.280,00";"950.713,40";
"01/2019";"26000 - Ministério da Educação";"26423 - Instituto Federal de Educação, Ciência e Tecnologia de Sergipe";"20.049.655,40";"18.017.492,85";"5.445.648,90";"21.233.558,68";
